Reviewer,Title,IC1,RQ1 - Analogy Generation Method,RQ2.1 - Evaluation Method,RQ2.2 - Strength/Weakness of Analogy Generation,RQ2.3 - Strength/Weakness of Analogy Evaluation,RQ3.1 - Generation Challenges,RQ3.2 - Evaluation Challenges,EC1,EC5,EC6,Decision,CrossCheck Result,Metaphor Or Analogy,Comment,,,,,Textual Or Visual,,,,,,,,
R2,An evaluation of three different theories of metaphor production through the use of an intentional category mistake procedure,False,False,False,False,False,False,False,False,False,True,,,,CANNOT ACCESS PAPER,,,,,,,,,,,,,
R2,Analogist: Out-of-the-box Visual In-Context Learning with Image Diffusion Model,True,True,False,False,False,False,False,False,False,True,Reject,,,Using image pairs as few-shot examples where new image needs to be manipulated in a analogous way,,,,,Visual,,,,,,,,
R2,Application of the abstractional concept mapping theory for the interpretation of novel metaphor,True,False,False,False,False,False,False,True,False,False,Reject,,,Workshop paper,,,,,,,,,,,,,
R2,Bringing Order to Neural Word Embeddings with Embeddings Augmented by Random Permutations ({EARP}),True,False,False,False,False,False,False,False,False,True,Reject,,,How to build better embedding,,,,,,,,,,,,,
R2,ChatGPT in Artificial Intelligence-Empowered E-Learning for Cultural Heritage: The case of Lyrics and Poems,True,False,False,False,False,False,False,False,False,True,Reject,,,"Evaluating ChatGPT's capability in e-learning context, analogy is part of the evaluation suite",,,,,,,,,,,,,
R2,Compositionality as an Analogical Process: Introducing {ANNE},True,False,False,False,False,False,False,True,False,False,Reject,,,Workshop paper,,,,,,,,,,,,,
R2,Content {Image} {Retrieval}: {A} {New} {Query} {Paradigm} {Toward} {Analogy} {Based} {Indexing},True,False,False,False,False,False,False,False,False,True,Reject,,,Visual similarity/analogy query,,,,,Visual,,,,,,,,
R2,Domain modeling for reuse,True,False,False,False,False,False,False,False,False,True,Reject,,,"Early knowledge graph/representation work, analogy is only mentioned once",,,,,,,,,,,,,
R2,Enhancing Dialogue Generation Through Iterative Prompt with Difference Analogy Learning,True,False,False,False,False,False,False,False,False,True,Reject,,,LLM in-context learning,,,,,,,,,,,,,
R2,From Generation to Selection: Findings of Converting Analogical Problem-Solving into Multiple-Choice Questions,True,False,False,False,False,False,False,False,False,True,Reject,,,Proposed new AGI benchmark,,,,,,,,,,,,,
R2,Implementation of the abstractional concept mapping theory for the evaluation of four-part geometric analogies,True,False,False,False,False,False,False,True,False,False,Reject,,,WIP paper,,,,,,,,,,,,,
R2,Improving Biomedical Analogical Retrieval with Embedding of Structural Dependencies,True,False,False,False,False,False,False,True,False,False,Reject,,,Workshop paper,,,,,,,,,,,,,
R2,Learning Relational Representations by Analogy using Hierarchical {S}iamese Networks,True,False,False,False,False,False,False,False,False,True,Reject,,,Using analogy to solve relation extraction problem,,,,,,,,,,,,,
R2,Maintaining {Passage} {Retrieval} {Information} {Need} {Using} {Analogical} {Reasoning} in a {Question} {Answering} {Task},True,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,"Interesting work, BAR; using analogical reasoning to solve QA problem but not promoting new ways to evaluate/generate",,,,,,,,,,,,,
R2,Optimizing Customer Engagement through Advancements in NLP based Video Caption Analysis,True,False,False,False,False,False,False,False,False,True,Reject,,,Using analogy as part of LLM evaluation suite,,,,,,,,,,,,,
R2,Problem {Solving} via {Analogical} {Retrieval} and {Analogical} {Search} {Control},False,False,False,False,False,False,False,False,False,False,,,,CANNOT ACCESS PAPER,,,,,,,,,,,,,
