bibkey,year,venue,task,granularity,architecture,domain,dataset,model,metrics,human_study,main_finding
turney2006similarity-FP1,2006,Comput.Linguist.,retrieval-mining,lexical,distributional,general,SAT-374,LRA (VSM+SVD),"acc,sim",human-comparison,LRA matches average human on SAT analogies via SVD-smoothed patterns
bollegala2009measuring-FP2,2009,WWW 2009,retrieval-mining,lexical,distributional,general,ENT+SAT,pattern-based web,sim,none,Web co-occurrence patterns measure implicit semantic-relation similarity
sultan2024parallelparc-FP3,2024,NAACL 2024,generation,lexical,LLM-hybrid,general,ParallelPARC,GPT-3.5,"sim,human-pref",crowd,Scalable pipeline generates paragraph analogies via GPT-3.5 and crowdsourcing
yuan2023analogykb-FP4,2024,ACL 2024,generation,lexical,LLM-hybrid,general,ANALOGYKB,GPT-4+,acc,crowd,Million-scale KG-derived analogy base unlocks LLM analogical reasoning
davies2008proteus-FP5,2008,Knowl.-Based Syst.,generation,compositional,symbolic,multimodal,visual puzzles,Proteus,human-pref,expert,Visuospatial analogy solver uses constraint satisfaction for problem-solving
wijesiriwardene2023analogical-FP6,2023,ACL Findings 2023,retrieval-mining,lexical,LLM-prompting,general,ANALOGICAL,GPT-4,sim,none,Long-text analogy benchmark reveals LLMs struggle with deep structural alignment
thagard1990analog-FP7,1990,Artif.Intell.,retrieval-mining,lexical,symbolic,general,ARCS examples,ARCS,sim,none,Constraint satisfaction retrieves structurally deep analogs via ARCS
bourrelly1983formalisation-FP8,1983,IFAC Proc.,generation,lexical,symbolic,general,---,ARCHES,val,expert,Formal model of approximate analogical reasoning for automated inference
bhavya2024anade1-FP9,2024,EACL 2024,generation,compositional,symbolic,general,AnaDE1.0,RoBERTa+BERT,acc,crowd,"Novel benchmark distinguishes analogy detection, extraction, and type classification"
ding2023fluid-FP10,2023,C&C 2023,generation,compositional,LLM-prompting,educational,custom cross-domain,GPT-3,human-pref,expert,LLMs augment creative cross-domain analogy generation with contextual prompts
bhavya2023cam-FP11,2023,WWW 2023,generation,lexical,LLM-hybrid,educational,CAM-corpus,GPT-3,nov,crowd,Multi-step LLM framework mines creative analogies with automatic novelty scoring
li2023analogical-FP12,2023,WWW 2023,retrieval-mining,lexical,distributional,general,E-KAR+others,BERT+MTL,"acc,sim",none,Multi-task learning with relational clustering improves analogical QA
li2005analogy-FP14,2005,HICSS 2005,generation,compositional,symbolic,general,custom symbolic,rule-based,"val,human-pref",expert,Deductive analogy framework enables structured reasoning and incremental learning
wang2024know-FP15,2024,KDD 2024,generation,both,LLM-hybrid,general,marketer demands,GPT-4+ARALLM,"acc,sim,human-pref",expert,Analogy-augmented LLMs better understand structured marketer demand requirements
chen2022kar-FP16,2022,ACL Findings 2022,generation,lexical,symbolic,general,E-KAR,various PLMs,acc,none,E-KAR benchmark rationalizes natural language analogical reasoning via rationales
jiayang2023storyanalogy-FP17,2023,EMNLP 2023,generation,lexical,LLM-hybrid,story,StoryAnalogy,ChatGPT/LLMs,"sim,val,nov,human-pref",crowd,LLMs derive story-level analogies; humans outperform models on relational similarity
bhavya2022analogy-FP18,2022,INLG 2022,generation,lexical,LLM-prompting,educational,custom domains,InstructGPT,"acc,sim,nov,human-pref",crowd,InstructGPT generates cross-domain analogies with moderate human approval rates
bhavya2024long-FP19,2024,INLG 2024,evaluation,compositional,LLM-prompting,educational,LFAC,multiple LLMs,"acc,val",crowd,Long-form analogy shared task reveals evaluation gap for complex analogies
turney2008latent-FP20,2008,JAIR,retrieval-mining,lexical,distributional,general,20-mapping-problems,LRME,"acc,sim,human-pref",human-comparison,Latent relation mapping engine solves analogical mapping via corpus pattern vectors
winston1980learning-FP21,1980,Commun.ACM,retrieval-mining,lexical,symbolic,general,custom blocks world,ANALOGY program,"sim,val",none,Structural analogy transfers relations for rule-based learning and reasoning
hope2017accelerating-FP22,2017,KDD 2017,retrieval-mining,compositional,distributional,scientific,USPTO patents,purpose-mechanism vecs,"acc,val,nov,human-pref",crowd,Purpose-mechanism analogy mining accelerates cross-domain innovation discovery
salu1994neural-FP23,1994,ICNN 1994,generation,n/a,cognitive-architecture,general,---,layered semantic NN,---,none,Neural network models analogical reasoning via layered semantic memory
schluter2018word-FP29,2018,NAACL 2018,retrieval-mining,lexical,distributional,general,multiple eval sets,word2vec,sim,none,Word analogy offset arithmetic conflates multiple phenomena; testing caveat
zhang2017temporal-FP24,2017,CIKM 2017,retrieval-mining,compositional,symbolic,historical,20y+70y temporal,dual-hierarchy transform,val,none,Dual hierarchical structures enable temporal analog retrieval across long time spans
zhu2010story-FP25,2010,IEEE-CIG 2010,generation,compositional,symbolic,story,RIU-stories,CBR system,sim,none,Case-based story representations power analogy-based narrative generation
bollegala2010supervised-FP27,2010,Inf.Auto.Sustain.,retrieval-mining,lexical,distributional,general,SAT-374,SVM ranking,"acc,sim",none,Supervised ranking detects relationally similar word pairs on SAT analogies
lepage1996saussurian-FP28,1996,COLING 1996,retrieval-mining,lexical,transformation,general,NLP corpora,edit-distance,sim,none,Saussurian proportional analogy formalised via edit distance for NLP
yaner2006visual-FP30,2006,Appl.Intell.,generation,compositional,symbolic,multimodal,visual scenes,constraint-CSP,acc,none,Visual analogy solved as constraint satisfaction over spatial scene representations
plate2000analogy-FP31,2000,Expert Syst.,retrieval-mining,lexical,transformation,general,custom,HRR vectors,"acc,sim",expert,Holographic reduced representations enable distributed analogy retrieval
wang2009knowledge-FP32,2009,NLP&KE 2009,retrieval-mining,compositional,distributional,general,knowledge elements,RGP+graph,sim,none,Graph-based Gaussian processes recognize knowledge element analogy relations
mittal1992generating-FP33,1992,ACM-SE 1992,generation,compositional,symbolic,general,objects,NLG rule system,"val,human-pref",expert,Rule-based NLG system produces analogical object descriptions from structural mappings
boisson2024automatic-FP45,2025,COLING 2025,generation,lexical,LLM-hybrid,story,literary texts,GPT-4 few-shot,"acc,sim,human-pref",crowd,LLM pipeline automatically extracts metaphoric analogies from literary texts
cao2024llm-FP43,2024,ICCE 2024,generation,compositional,LLM-prompting,educational,adult study (n=23),GPT-4,human-pref,crowd,Personalized LLM analogies foster AI literacy in adult novices via mixed methods
crouse2021neural-FP39,2021,AAAI 2021,generation,lexical,learned-relational,general,NESS+VAE,AMN,"acc,val",none,Neural analogical matching network outperforms symbolic SME on analogy benchmarks
denaux2019assessing-FP47,2019,K-CAP 2019,retrieval-mining,lexical,symbolic,general,lexico-semantic rels,embeddings+SVM,sim,none,Concept embeddings encode lexico-semantic relations better than word embeddings
falkenhainer1989structure-FP35,1989,Artif.Intell.,retrieval-mining,compositional,symbolic,scientific,SME examples,SME,"val,human-pref",expert,Structure-mapping engine formalizes analogy via systematicity and one-to-one mapping
hofstadter1994copycat-FP36,1994,Ablex 1994,retrieval-mining,lexical,cognitive-architecture,general,letter-string problems,Copycat,val,none,Copycat models creative analogy via emergent parallel letter-string mappings
holyoak1989analogical-FP37,1989,Cogn.Sci.,retrieval-mining,lexical,symbolic,general,ACME examples,ACME,val,none,ACME maps analogical correspondences via constraint satisfaction over predicates
hummel2019lisa-FP38,2019,CogSci 1996,retrieval-mining,compositional,cognitive-architecture,general,custom symbolic,LISA,val,none,LISA models analogical inference and schema induction with structured neural representations
ju2025toward-FP44,2025,CHI 2025,generation,lexical,LLM-hybrid,story,microaggression corpus,EmoSync (LLM),human-pref,crowd,Affective empathy analogy generation reduces microaggression harm perception
sadeghi2015visalogy-FP41,2015,NeurIPS 2015,generation,compositional,learned-relational,multimodal,VISALOGY,CNN+retrieval,"acc,sim",none,Visual analogy questions answered via perceptual feature mapping using CNNs
shao2025unlocking-FP42,2025,CHI 2025,generation,lexical,LLM-hybrid,scientific,student study,GPT-4o,"acc,human-pref",crowd,LLM-generated analogies improve student concept understanding in classroom practice
tsatsaronis2010text-FP46,2010,JAIR,retrieval-mining,lexical,symbolic,general,SAT,WordNet-SR,sim,none,WordNet-based semantic relatedness achieves competitive SAT analogy performance
yuan2023beneath-FP34,2023,EMNLP Findings 2023,generation,lexical,LLM-prompting,scientific,scientific analogies,GPT-4,"acc,sim,human-pref",crowd,LLMs make scientific analogies via structure abduction beyond surface similarity
bernstein2024nestingdoll,2024,ITiCSE 2024,generation,compositional,LLM-hybrid,educational,CS student analogies,GPT-4,human-pref,crowd,CS students' LLM-generated recursion analogies analyzed for quality and depth
boisson2024metaphors,2024,CoNLL 2024,evaluation,compositional,LLM-prompting,general,analogy corpus,PLMs,acc,none,Language models process analogies as structured metaphors differently across layers
chen2024analogymate,2024,CHI 2024,generation,compositional,LLM-hybrid,educational,data charts,GPT-4,human-pref,crowd,Generative AI creates data analogies enhancing comprehension and communication
jiang2024marvel,2024,NeurIPS 2024,capability-evaluation,compositional,LLM-prompting,multimodal,MARVEL,GPT-4V+,acc,none,Multidimensional visual reasoning benchmark exposes LLM abstraction failures
lee2026curious,2026,AAAI 2026,capability-evaluation,lexical,LLM-prompting,general,multiple benchmarks,multiple LLMs,"acc,val",none,"LLM analogical reasoning is sensitive to surface form, framing, and prompting"
lewis2024counterfactual,2024,CogSci 2024,capability-evaluation,lexical,LLM-prompting,general,counterfactual tasks,GPT-4,"acc,val",none,Counterfactual tasks reveal LLM analogical reasoning is not fully generalizable
lewis2025robustness,2025,TMLR,capability-evaluation,lexical,LLM-prompting,general,counterfactual sets,multiple LLMs,"acc,val",none,LLM analogical reasoning lacks robustness across paraphrase and surface changes
