id,label
DOI:10.1145/3649217.3653533,bernstein2024nestingdoll
DOI:10.18653/v1/2022.inlg-main.25,bhavya2022analogy-FP18
DOI:10.1145/3543507.3587431,bhavya2023cam-FP11
ACL:2025.coling-main.448,boisson2024automatic-FP45
ACL:2024.conll-1.28,boisson2024metaphors
DOI:10.18653/v1/2022.findings-acl.311,chen2022kar-FP16
DOI:10.18653/v1/2023.emnlp-main.706,jiayang2023storyanalogy-FP17
ACL:2025.acl-long.200,li2025pastpresent
DOI:10.1016/j.jml.2025.104676,musker2025semanticstructuremapping
ACL:2025.findings-acl.1230,qin2025relevant
DOI:10.1145/3706598.3714313,shao2025unlocking-FP42
DOI:10.18653/v1/2024.findings-emnlp.392,shin2024generation
DOI:10.1162/tacl_a_00688,sourati2024arn
DOI:10.18653/v1/2024.naacl-long.329,sultan2024parallelparc-FP3
DOI:10.1093/pnasnexus/pgaf135,webb2025counterfactual
DOI:10.18653/v1/2023.findings-acl.218,wijesiriwardene2023analogical-FP6
ACL:2024.findings-eacl.31,wijesiriwardene2024sentence
ACL:2025.coling-main.268,wijesiriwardene2025knowledgeprompts
DOI:10.18653/v1/2024.emnlp-main.725,ye2024analobench
DOI:10.18653/v1/2024.acl-long.68,yuan2023analogykb-FP4
DOI:10.18653/v1/2023.findings-emnlp.160,yuan2023beneath-FP34
DOI:10.18653/v1/2024.emnlp-main.346,yuan2024boosting
ACL:C96-2121,lepage1996saussurian-FP28
ACL:N18-2039,schluter2018word-FP29
ACL:J06-3003,turney2006similarity-FP1
ARXIV:2401.17856,chen2024analogymate
ARXIV:2511.20344,lee2026curious
ARXIV:2402.08955,lewis2024counterfactual
ARXIV:2411.14215,lewis2025robustness
ARXIV:2310.01714,yasunaga2024analogical
ARXIV:2503.00043,yilmaz2025voila
ARXIV:2407.17773,yiu2025kiva
ACL:2024.eacl-long.103,bhavya2024anade1-FP9
DOI:10.18653/v1/2024.inlg-genchal.1,bhavya2024long-FP19
DOI:10.1145/1526709.1526797,bollegala2009measuring-FP2
DOI:10.1109/ICIAFS.2010.5715681,bollegala2010supervised-FP27
DOI:10.1016/S1474-6670(17)62020-2,bourrelly1983formalisation-FP8
DOI:10.58459/icce.2024.4809,cao2024llm-FP43
DOI:10.1609/aaai.v35i1.16163,crouse2021neural-FP39
DOI:10.1016/j.knosys.2008.03.035,davies2008proteus-FP5
DOI:10.1145/3360901.3364445,denaux2019assessing-FP47
DOI:10.1145/3591196.3593516,ding2023fluid-FP10
DOI:10.1016/0004-3702(89)90077-5,falkenhainer1989structure-FP35
3ac727bf460241cf41a879412d51fa517908cb26,hofstadter1994copycat-FP36
DOI:10.1207/s15516709cog1303_1,holyoak1989analogical-FP37
DOI:10.1145/3097983.3098038,hope2017accelerating-FP22
DOI:10.48550/arXiv.2404.13591,jiang2024marvel
DOI:10.1145/3706598.3714122,ju2025toward-FP44
DOI:10.1109/HICSS.2005.96,li2005analogy-FP14
DOI:10.1145/3543873.3587333,li2023analogical-FP12
DOI:10.1145/503720.503727,mittal1992generating-FP33
DOI:10.1111/1468-0394.00125,plate2000analogy-FP31
ARXIV:1510.08973,sadeghi2015visalogy-FP41
DOI:10.1109/ICNN.1994.375047,salu1994neural-FP23
DOI:10.1613/jair.2880,tsatsaronis2010text-FP46
DOI:10.1613/JAIR.2693,turney2008latent-FP20
DOI:10.1109/NLPKE.2009.5313788,wang2009knowledge-FP32
DOI:10.1145/3637528.3671583,wang2024know-FP15
DOI:10.1145/359038.359042,winston1980learning-FP21
DOI:10.1007/s10489-006-8868-x,yaner2006visual-FP30
DOI:10.1145/3132847.3132917,zhang2017temporal-FP24
DOI:10.1109/ITW.2010.5593324,zhu2010story-FP25
87d3c80d59cb9e00d88095e7bd1a0ffeaab8f9ff,hummel2019lisa-FP38
DOI:10.1162/tacl.a.614,stevenson2026children
DOI:10.1016/0004-3702(90)90018-U,thagard1990analog-FP7
