Reviewer,Title,IC1,RQ1 - Analogy Generation Method,RQ2.1 - Evaluation Method,RQ2.2 - Strength/Weakness of Analogy Generation,RQ2.3 - Strength/Weakness of Analogy Evaluation,RQ3.1 - Generation Challenges,RQ3.2 - Evaluation Challenges,EC1,EC5,EC6,Decision,CrossCheck Result,Metaphor Or Analogy,Comment,,,,,Textual Or Visual,,,,,,,,
R2,A Theory Guided Scaffolding Instruction Framework for {LLM}-Enabled Metaphor Reasoning,True,False,True,False,True,False,True,False,False,False,Uncertain,Reject,Metaphor,"Metaphor detection using LLM, Great related work writing on metaphor detection, interpretation and generation",HW's processing order: IC > EC > RQ,,,,,,,,,,,,
R2,An evaluation of three different theories of metaphor production through the use of an intentional category mistake procedure,False,False,False,False,False,False,False,False,False,False,,,,CANNOT ACCESS PAPER,,,,,,,,,,,,,
R2,Analogist: Out-of-the-box Visual In-Context Learning with Image Diffusion Model,True,True,False,False,False,False,False,False,False,True,Reject,,,Using image pairs as few-shot examples where new image needs to be manipulated in a analogous way,,,,,Visual,,,,,,,,
R2,Application of the abstractional concept mapping theory for the interpretation of novel metaphor,True,False,False,False,False,False,False,True,False,False,Reject,,,Workshop paper,,,,,,,,,,,,,
R2,Bringing Order to Neural Word Embeddings with Embeddings Augmented by Random Permutations ({EARP}),True,False,False,False,False,False,False,False,False,True,Reject,,,How to build better embedding,,,,,,,,,,,,,
R2,ChatGPT in Artificial Intelligence-Empowered E-Learning for Cultural Heritage: The case of Lyrics and Poems,True,False,False,False,False,False,False,False,False,True,Reject,,,"Evaluating ChatGPT's capability in e-learning context, analogy is part of the evaluation suite",,,,,,,,,,,,,
R2,Compositionality as an Analogical Process: Introducing {ANNE},True,False,False,False,False,False,False,True,False,False,Reject,,,Workshop paper,,,,,,,,,,,,,
R2,Computational Metaphor Processing: A Review,True,False,False,False,False,False,False,False,True,False,Reject,,,"High related, but should be excluded",,,,,,,,,,,,,
R2,Content {Image} {Retrieval}: {A} {New} {Query} {Paradigm} {Toward} {Analogy} {Based} {Indexing},True,False,False,False,False,False,False,False,False,True,Reject,,,Visual similarity/analogy query,,,,,Visual,,,,,,,,
R2,Domain modeling for reuse,True,False,False,False,False,False,False,False,False,True,Reject,,,"Early knowledge graph/representation work, analogy is only mentioned once",,,,,,,,,,,,,
R2,Enhancing Dialogue Generation Through Iterative Prompt with Difference Analogy Learning,True,False,False,False,False,False,False,False,False,True,Reject,,,LLM in-context learning,,,,,,,,,,,,,
R2,Examining an {Evaluation} {Mechanism} of {Metaphor} {Generation} with {Experiments} and {Computational} {Model} {Simulation},True,True,True,False,False,False,False,False,False,False,Reject,,,Psychology focused,,,,,,,,,,,,,
R2,Figure Me Out: A Gold Standard Dataset for Metaphor Interpretation,True,False,True,False,False,False,False,False,False,False,Reject,,,A coding standard to annotate verb-noun metaphors,,,,,,,,,,,,,
R2,From Generation to Selection: Findings of Converting Analogical Problem-Solving into Multiple-Choice Questions,True,False,False,False,False,False,False,False,False,True,Reject,,,Proposed new AGI benchmark,,,,,,,,,,,,,
R2,Implementation of the abstractional concept mapping theory for the evaluation of four-part geometric analogies,True,False,False,False,False,False,False,True,False,False,Reject,,,WIP paper,,,,,,,,,,,,,
R2,Improving Biomedical Analogical Retrieval with Embedding of Structural Dependencies,True,False,False,False,False,False,False,True,False,False,Reject,,,Workshop paper,,,,,,,,,,,,,
R2,Integrating Vision and Language Datasets to Measure Word Concreteness,True,False,True,False,False,False,False,False,False,False,Reject,,,Confusing / Just use metaphor detection as an evaluation task,,,,,,,,,,,,,
R2,Learning Relational Representations by Analogy using Hierarchical {S}iamese Networks,True,False,False,False,False,False,False,False,False,True,Reject,,,Using analogy to solve relation extraction problem,,,,,,,,,,,,,
R2,Maintaining {Passage} {Retrieval} {Information} {Need} {Using} {Analogical} {Reasoning} in a {Question} {Answering} {Task},True,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,"Interesting work, BAR; using analogical reasoning to solve QA problem but not promoting new ways to evaluate/generate",,,,,,,,,,,,,
R2,Measuring the similarity between implicit semantic relations from the web,True,False,True,False,False,False,False,False,False,False,Accept,,Analogy,Using SMT to determine similarities between words (not pure embedding based),,,,,,,,,,,,,
R2,"Metamorpheus: Interactive, Affective, and Creative Dream Narration Through Metaphorical Visual Storytelling",True,True,False,False,False,False,False,False,False,False,Accept,,Metaphor,Metaphor generation,,,,,Visual,,,,,,,,
R2,Metaphor Detection with Additional Auxiliary Context,True,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,Metaphor detection,,,,,,,,,,,,,
R2,Non-compositional Expression Generation Based on Curriculum Learning and Continual Learning,True,True,False,False,False,False,False,False,False,False,Accept,,Metaphor,Metaphor generation,,,,,,,,,,,,,
R2,Optimizing Customer Engagement through Advancements in NLP based Video Caption Analysis,True,False,False,False,False,False,False,False,False,True,Reject,,,Using analogy as part of LLM evaluation suite,,,,,,,,,,,,,
R2,Predicting emergent linguistic compositions through time: Syntactic frame extension via multimodal chaining,True,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,"Not sure what the paper is doing, very linguistic? Can be useful for Figurative language but not used in this paper.",,,,,,,,,,,,,
R2,Problem {Solving} via {Analogical} {Retrieval} and {Analogical} {Search} {Control},False,False,False,False,False,False,False,False,False,False,,,,CANNOT ACCESS PAPER,,,,,,,,,,,,,
R2,Sentence Analogies: Linguistic Regularities in Sentence Embeddings,True,False,False,False,False,False,False,False,False,True,Reject,,,Using analogy as part of LLM evaluation suite,,,,,,,,,,,,,
R2,Similarity of Semantic Relations,True,False,True,False,False,False,False,False,False,False,Accept,,Analogy,Introduce latent relational analysis for evaluating analogy,,,,,,,,,,,,,
R2,SOLVENT: A Mixed Initiative System for Finding Analogies between Research Papers,True,False,False,False,False,False,False,False,False,True,Reject,,,Using analogy retrieval in application,,,,,,,,,,,,,
R2,Text relatedness based on a word thesaurus,True,False,True,False,False,False,False,False,False,False,Accept,,Other,A new way to measure semantic relateness,,,,,,,,,,,,,
R2,The logical art of writing useful comparisons,True,True,False,False,False,False,False,True,False,True,Reject,,,Analogy generation,,,,,,,,,,,,,
R2,The MorPhEMe Machine: An Addressable Neural Memory for Learning Knowledge-Regularized Deep Contextualized Chinese Embedding,True,False,False,False,False,False,False,False,False,True,Reject,,,How to build better embedding,,,,,,,,,,,,,
R2,Verb Metaphor Detection via Contextual Relation Learning,True,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,Metaphor detection,,,,,,,,,,,,,
R1,Distributional Semantics Beyond Words: Supervised Learning of Analogy and Paraphrase,True,False,False,False,False,False,False,False,False,False,Reject,,,measuring relational  similarity ,,,,,,,,,,,,,
R1,Design and evaluation of metaphor processing systems,True,False,True,False,True,False,True,False,False,False,Accept,Accept,Metaphor,,,,,,,,,,,,,,
R1,Behaviour combination through analogy,True,True,False,True,False,False,False,False,False,False,Accept,Reject,,,,,,,,,,,,,,,
R1,Efficient Analogy Completion with Word Embedding Clusters,True,False,False,False,False,False,False,False,False,False,Reject,,,,,,,,,,,,,,,,
R1,Proteus: Visuospatial analogy in problem-solving,True,True,False,True,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,
R1,An intelligent agent with affect sensing from metaphorical language and speech,True,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,"Application of metaphorical language and speech, not related EC6",,,,,,,,,,,,,
R1,From Cases to Rules and Vice Versa: Robust Practical Parsing With Analogy,True,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,Use an analogy-based parsing to achieve goals out of our domain,,,,,,,,,,,,,
R1,Detecting Metaphorical Phrases in the {P}olish Language,True,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,"A way to build embedding model to achieve polish metaphorical language detection, not related to gen/eval",,,,,,,,,,,,,
R1,{I} Spy a Metaphor: Large Language Models and Diffusion Models Co-Create Visual Metaphors,True,False,False,False,False,False,False,False,False,False,Reject,,,,,,,,,,,,,,,,
R1,DeepHashDetection: Adversarial Example Detection Basedon Similarity Image Retrieval,True,False,False,False,False,False,False,False,False,False,Reject,,,,,,,,,,,,,,,,
R1,Design-by-analogy: experimental evaluation of a functional analogy search methodology for concept generation improvement,True,True,False,True,False,False,False,False,False,False,Accept,Reject,,,,,,,,,,,,,,,
R1,Analog retrieval by constraint satisfaction,True,False,False,False,False,False,False,False,False,False,Uncertain,Accept,Analogy,,,,,,,,,,,,,,
R1,Formalisation of an Approximate Reasoning: The Analogical Reasoning,True,True,False,True,False,False,False,False,False,False,Uncertain,Accept,Analogy,,,,,,,,,,,,,,
R1,Deep generation of metaphors,True,False,False,False,False,False,False,False,False,False,Uncertain,Accept,Metaphor,,,,,,,,,,,,,,
R1,Assessing the Lexico-Semantic Relational Knowledge Captured by Word and Concept Embeddings,True,False,False,False,False,False,False,False,False,False,Uncertain,Reject,Other,embedding,,,,,,,,,,,,,
R1,{ANATEST}: {A} program to generate geometric analogy problems varying in number of elements and number of transformations,True,True,False,True,False,False,False,False,False,False,Accept,,,,,,,,,,,,,,,,
R1,How to Avoid Sentences Spelling Boring? Towards a Neural Approach to Unsupervised Metaphor Generation,True,False,False,False,False,False,False,False,False,False,Uncertain,Accept,metaphor,,,,,,,,,,,,,,
R1,Using Automated Metaphor Identification to Aid in Detection and Prediction of First-Episode Schizophrenia,False,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,Metaphor detection application,,,,,,,,,,,,,
R1,An Analogical Reasoning Method Based on Multi-task Learning with Relational Clustering,False,True,False,False,False,False,False,False,False,True,Uncertain,Accept,Analogy,,,,,,,,,,,,,,
R1,{N}ews{M}et : A {\textquoteleft}do it all' Dataset of Contemporary Metaphors in News Headlines,False,False,False,False,False,False,False,False,False,False,Reject,,,,,,,,,,,,,,,,
R1,Can Network Embedding of Distributional Thesaurus Be Combined with Word Vectors for Better Representation?,False,False,False,False,False,False,False,False,False,False,Reject,,,,,,,,,,,,,,,,
R1,Know Your Needs Better: Towards Structured Understanding of Marketer Demands with Analogical Reasoning Augmented LLMs,False,True,False,False,False,False,False,False,False,False,Uncertain,Accept,Analogy,,,,,,,,,,,,,,
R1,Expert representation of design repository space: A comparison to and validation of algorithmic output,False,False,False,False,False,False,False,False,False,False,Reject,,,,,,,,,,,,,,,,
R1,{M}ulti{S}eg: Parallel Data and Subword Information for Learning Bilingual Embeddings in Low Resource Scenarios,False,False,False,False,False,False,False,False,False,False,Reject,,,,,,,,,,,,,,,,
R1,{E}-{KAR}: A Benchmark for Rationalizing Natural Language Analogical Reasoning,False,True,True,True,False,False,False,False,False,False,Uncertain,Accept,Analogy,,,,,,,,,,,,,,
R1,Improving subword embeddings in large language models using morphological information,False,False,False,False,False,False,False,False,False,False,Reject,,,,,,,,,,,,,,,,
R1,Skip-Gram {\ensuremath{-}} {Z}ipf + Uniform = Vector Additivity,False,True,False,False,False,False,False,False,False,True,Uncertain,Reject,,Word embedding technique that uses word analogy as evaluation benchmark,,,,,,,,,,,,,
R1,A Knowledge Graph Embedding Approach for Metaphor Processing,False,True,False,True,False,False,False,False,False,False,Accept,,Metaphor,,,,,,,,,,,,,,
R1,Extracting and Analysing Metaphors in Migration Media Discourse: towards a Metaphor Annotation Scheme,False,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,"For metaphor annotation, not gen/eval",,,,,,,,,,,,,
R1,Can language models learn analogical reasoning? Investigating training objectives and comparisons to human performance,False,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,An experiment paper that tries to evaluate LM's analogical reasoning ability,,,,,,,,,,,,,
R1,{IMPLI}: Investigating {NLI} Models' Performance on Figurative Language,False,False,False,False,False,False,False,False,False,False,Reject,,,,,,,,,,,,,,,,
R1,Why “dark thoughts” aren't really dark: A novel algorithm for metaphor identification,False,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,Metaphor detection,,,,,,,,,,,,,
R1,"Automatic Extraction of Metaphoric Analogies from Literary Texts: Task Formulation, Dataset Construction, and Evaluation",False,True,False,True,False,False,False,False,False,False,Accept,,Metaphor,,,,,,,,,,,,,,
R1,Does {GPT}-3 Grasp Metaphors? Identifying Metaphor Mappings with Generative Language Models,False,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,Evaluate LM's metaphor detection ability,,,,,,,,,,,,,
R1,Multilingual Metaphor Processing: Experiments with Semi-Supervised and Unsupervised Learning,False,False,False,False,False,False,False,False,False,False,Uncertain,Accept,Metaphor,,,,,,,,,,,,,,
R3,“{Love} {Is} as {Complex} as {Math}”: {Metaphor} {Generation} {System} for {Social} {Chatbot},False,False,False,False,False,False,False,True,False,False,Reject,,,Looks like workshop: https://dl.acm.org/doi/10.1007/978-3-030-38189-9_36,,,,,,,,,,,,,
R3,Research on a {Novel} {Analogical} {Reasoning} {Method} for {Biomimetic} {Concept} {Generation},False,False,False,False,False,False,False,False,False,False,,,,CANNOT ACCESS PAPER,,,,,,,,,,,,,
R3,Auditory presentation leads to better analogical retrieval than written presentation,False,False,False,False,False,False,False,False,False,False,Reject,,,??? EC4. Shouldn't be here.,,,,,,,,,,,,,
R3,{GOME}: Grounding-based Metaphor Binding With Conceptual Elaboration For Figurative Language Illustration,False,False,False,False,False,False,False,False,False,True,Reject,,,"Figurative language undertanding & visualization, not generation",,,,,,,,,,,,,
R3,When is a Metaphor Actually Novel? Annotating Metaphor Novelty in the Context of Automatic Metaphor Detection,False,False,True,False,False,False,False,False,False,False,Reject,,,"Although evaluation method mentioned in th paper is for novel metaphor detection, it may be applied to analogy generation (Code: Creativity)
Workshop",,,,,,,,,,,,,
R3,Nominal Metaphor Generation with Multitask Learning,False,True,True,False,False,False,False,False,False,False,Accept,Accept,Metaphor,"Nominal Metaphor Generation (Code: Corpus), automatic & human evaluation",,,,,,,,,,,,,
R3,{IMAGINATOR}: Pre-Trained {I}mage+{T}ext Joint Embeddings using Word-Level Grounding of Images,False,False,False,False,False,False,False,False,False,True,Reject,,,Not related to analogy generation,,,,,,,,,,,,,
R3,Generating Multimodal Metaphorical Features for Meme Understanding,False,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,multimodal metaphorical features generation is for meme understanding and classification,,,,,,,,,,,,,
R3,The Use of Analogical Reasoning in Similar Judicial Cases Retrieval System,False,False,False,False,False,False,False,False,False,False,Reject,,,no analogy generation,,,,,,,,,,,,,
R3,A computational model for visual conceptual blends,False,False,False,False,False,False,False,False,False,True,Uncertain,Reject,,visual analogy,,,,,,,,,,,,,
R3,Mining Analogical Libraries in Q&A Discussions -- Incorporating Relational and Categorical Knowledge into Word Embedding,False,False,False,False,False,False,False,False,False,True,Reject,,,"provide analogical-libraries recommendations, not analogy generation",,,,,,,,,,,,,
R3,Cross-Language Latent Relational Search between Japanese and English Languages Using a Web Corpus,False,False,False,False,False,False,False,False,False,False,Reject,,,"Mainly for search, not generation. Main contributoin in cross-language.",,,,,,,,,,,,,
R3,AnalogiLead: Improving Selection of Analogical Inspirations with Chunking and Recombination,False,True,False,False,False,False,False,True,False,False,Uncertain,Reject,,"not a high quality (complete) paper, looks like work-in-progress",,,,,,,,,,,,,
R3,Accelerating Innovation Through Analogy Mining,False,True,False,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,
R3,{CM}-Gen: A Neural Framework for {C}hinese Metaphor Generation with Explicit Context Modelling,False,True,True,False,False,False,False,False,False,False,Accept,,Metaphor,"Chinese Nominal Metaphor (NM) generation (Code: Corpus), automatic & human evaluation",,,,,,,,,,,,,
R3,Improvements and Extensions on Metaphor Detection,False,False,False,False,False,False,False,False,False,False,Reject,,,Workshop,,,,,,,,,,,,,
